Juistheid;Maximale afwijking;Gemiddelde absolute afwijking;onderwerp;vensterlengte;verschuiving
0,95599180135335;1,8600000000000012;0,6202465753424657;Ziekteverzuim;1;1
0,9508885621156868;1,9900000000000002;0,6380000000000001;Ziekteverzuim;1;2
0,948645839701655;1,8900000000000006;0,6475616438356167;Ziekteverzuim;1;3
0,9477835016715821;1,9600000000000009;0,6496986301369864;Ziekteverzuim;1;4
0,9491220562257247;1,9900000000000002;0,6438356164383563;Ziekteverzuim;1;5
0,9481020519140343;1,9800000000000004;0,6473698630136987;Ziekteverzuim;1;6
0,9487938529456215;1,9600000000000009;0,6457534246575344;Ziekteverzuim;1;7
0,9594089766814768;1,8900000000000006;0,6183835616438357;Ziekteverzuim;1;14
0,9676784122683652;1,8099999999999987;0,6136712328767123;Ziekteverzuim;1;21
0,9795259071442113;1,9800000000000004;0,5967397260273972;Ziekteverzuim;1;28
1,0403239559435349;1,4499999999999993;0,6906849315068493;Ziekteverzuim;1;73
0,9938799741298585;1,049999999999999;0,2699178082191781;Ziekteverzuim;1;365
1,0003957745436525;0,8399999999999999;0,2514794520547945;Ziekteverzuim;1;730
0,949076300827263;1,9190000000000964;0,6421898630214442;Ziekteverzuim;2;1
0,9471040460214705;1,9357142857144716;0,6493567718236465;Ziekteverzuim;2;2
0,9469849213593116;1,9366666660393577;0,6499426758353011;Ziekteverzuim;2;3
0,9474547666861458;1,932729736713032;0,6481173374732873;Ziekteverzuim;2;4
0,9475982427990446;1,9316636191271321;0,6475392833901287;Ziekteverzuim;2;5
0,9477392530963761;1,929514403056821;0,6473389346223517;Ziekteverzuim;2;6
0,9480217983912941;1,9256019616151967;0,6463705269092359;Ziekteverzuim;2;7
0,9611983269188629;1,797510340213833;0,6204450556758531;Ziekteverzuim;2;14
0,9686386225938758;1,7894570922851951;0,6074592082402603;Ziekteverzuim;2;21
0,9825411420194589;1,8541845703125297;0,5913199780607961;Ziekteverzuim;2;28
1,0416767889492007;1,590000000000014;0,6907893835616431;Ziekteverzuim;2;73
0,993908933242809;1,1000000000000032;0,2646027397260275;Ziekteverzuim;2;365
1,0004842607221116;0,7850000000000019;0,2511917808219175;Ziekteverzuim;2;730
0,9465239325352546;1,940740740740745;0,6513635240848927;Ziekteverzuim;3;1
0,9463078158858168;1,9424999999999972;0,6522178593132171;Ziekteverzuim;3;2
0,9467335610258488;1,9388888888888882;0,6508697486450957;Ziekteverzuim;3;3
0,9469948127435832;1,9366666666607024;0,6497262237463941;Ziekteverzuim;3;4
0,9473926813308015;1,9333332665894645;0,648101835305612;Ziekteverzuim;3;5
0,9479727861497909;1,9283365761462328;0,6458989115211673;Ziekteverzuim;3;6
0,9491651839366199;1,9180204625117572;0,6412548122547146;Ziekteverzuim;3;7
0,9625687167019237;1,8662275945689846;0,6140536740163024;Ziekteverzuim;3;14
0,9703294880026334;1,8851423763496413;0,6030008466662413;Ziekteverzuim;3;21
0,9851996217664928;1,6474325277876556;0,5832078770686874;Ziekteverzuim;3;28
1,0431397562950941;1,7056790123456782;0,6971213709904734;Ziekteverzuim;3;73
0,9939475453934092;1,136666666666665;0,2605570776255707;Ziekteverzuim;3;365
1,0005738194603093;0,7533333333333321;0,2528858447488584;Ziekteverzuim;3;730
0,9465033742619898;1,940892857142856;0,6514472817500272;Ziekteverzuim;4;1
0,9467199345516067;1,9390277777777776;0,6506359027226476;Ziekteverzuim;4;2
0,947016204844165;1,93647727272727;0,6496415704932073;Ziekteverzuim;4;3
0,9476314972678156;1,9312499999999986;0,6472524980493061;Ziekteverzuim;4;4
0,9484997481272209;1,923833333415672;0,6440605518684229;Ziekteverzuim;4;5
0,9497597300997079;1,9130146455719856;0,6394746504734388;Ziekteverzuim;4;6
0,9514953392690195;1,8982187116163889;0,6328927480006533;Ziekteverzuim;4;7
0,9641794784303851;1,758957577823809;0,6063345165717877;Ziekteverzuim;4;14
0,9727483533618061;1,7434710589051257;0,5981595755492078;Ziekteverzuim;4;21
0,9872620195154779;1,7407971787452698;0,5777777093587674;Ziekteverzuim;4;28
1,0446005030037029;1,7101464843750005;0,7055336579623288;Ziekteverzuim;4;73
0,9939861575440091;1,107499999999999;0,2566986301369863;Ziekteverzuim;4;365
1,0006636463384408;0,7074999999999996;0,25296575342465744;Ziekteverzuim;4;730
0,9471390568338635;1,935500000000001;0,6490347022355637;Ziekteverzuim;5;1
0,9475056537841594;1,9323200000000007;0,647765067297511;Ziekteverzuim;5;2
0,948252653602167;1,9259333333333366;0,6450776410152949;Ziekteverzuim;5;3
0,9492786770899259;1,91714285714286;0,6413393977499418;Ziekteverzuim;5;4
0,950662162183904;1,9053000000003468;0,636340435962661;Ziekteverzuim;5;5
0,952367096044104;1,8907111120567457;0,630137271834872;Ziekteverzuim;5;6
0,9543279137004947;1,8740000374470878;0,6234180433699331;Ziekteverzuim;5;7
0,965881900695806;1,7888550528132932;0,6042732872432979;Ziekteverzuim;5;14
0,9752284903852889;1,622812443455322;0,5854125437655179;Ziekteverzuim;5;21
0,9894937330984274;1,648907020288;0,5785203038776725;Ziekteverzuim;5;28
1,0460501337589245;1,7372736000000017;0,7135262860273972;Ziekteverzuim;5;73
0,9940273438379825;1,081999999999999;0,25315616438356164;Ziekteverzuim;5;365
1,000745858042428;0,7080000000000002;0,25326575342465746;Ziekteverzuim;5;730
