Juistheid;Maximale afwijking;Gemiddelde absolute afwijking;onderwerp;jaarlijks_seizoenspatroon;wekelijks_seizoenspatroon;graad
1,0011079273880983;3,208861768089264;1,048138511214935;Cliënten;False;False;2
1,0011079273880983;3,208861768089264;1,048138511214935;Cliënten;False;False;3
1,0011079273880983;3,208861768089264;1,048138511214935;Cliënten;False;False;4
1,0011079273880983;3,208861768089264;1,048138511214935;Cliënten;False;False;5
1,0011079273880983;3,208861768089264;1,048138511214935;Cliënten;False;False;6
1,0011079273880983;3,208861768089264;1,048138511214935;Cliënten;False;False;7
1,0011079273880983;3,208861768089264;1,048138511214935;Cliënten;False;False;8
1,0011079273880983;3,208861768089264;1,048138511214935;Cliënten;False;False;9
1,0011079273880983;3,208861768089264;1,048138511214935;Cliënten;False;False;10
1,0011079273880983;3,208861768089264;1,048138511214935;Cliënten;False;False;11
1,0011079273880983;3,208861768089264;1,048138511214935;Cliënten;False;False;12
1,0011079273880983;3,208861768089264;1,048138511214935;Cliënten;False;False;13
1,0011079273880983;3,208861768089264;1,048138511214935;Cliënten;False;False;14
1,0011079273880983;3,208861768089264;1,048138511214935;Cliënten;False;False;15
1,0011079273880983;3,208861768089264;1,048138511214935;Cliënten;False;False;16
1,0011079273880983;3,208861768089264;1,048138511214935;Cliënten;False;False;17
1,0011079273880983;3,208861768089264;1,048138511214935;Cliënten;False;False;18
1,0011079273880983;3,208861768089264;1,048138511214935;Cliënten;False;False;19
1,0011079273880983;3,208861768089264;1,048138511214935;Cliënten;False;False;20
1,0011079273880983;3,208861768089264;1,048138511214935;Cliënten;False;False;21
1,0011079273880983;3,208861768089264;1,048138511214935;Cliënten;False;False;22
1,0011079273880983;3,208861768089264;1,048138511214935;Cliënten;False;False;23
1,0005564632983222;1,0197857797166243;0,28172992272337094;Ziekteverzuim;True;True;1
0,9924517977274917;1,0;0,2772414383561644;Ziekteverzuim;True;True;2
0,9982105208098621;0,8125;0,2404400684931507;Ziekteverzuim;True;True;3
