Juistheid;Maximale afwijking;Gemiddelde absolute afwijking;onderwerp;jaarlijks_seizoenspatroon;wekelijks_seizoenspatroon;graad
0,9980248575062455;1,0446727641062292;0,27702097135263676;Ziekteverzuim;True;True;1
0,9859974644687767;1,046875;0,2830890410958904;Ziekteverzuim;True;True;2
0,9943233665552004;0,83154296875;0,2380613762842466;Ziekteverzuim;True;True;3
0,9967213859831452;0,734375;0,2150633561643836;Ziekteverzuim;True;True;4
0,9905675744812291;0,8268749999999994;0,21838869863013696;Ziekteverzuim;True;True;5
0,9755569752447844;0,9479687499999994;0,26961536815068493;Ziekteverzuim;True;True;6
0,9692052010566853;0,9362499999999994;0,29515753424657537;Ziekteverzuim;True;True;7
0,9593812241982342;1,0065624999999994;0,36348801369863015;Ziekteverzuim;True;True;8
0,9664852565938286;0,9674999999999994;0,3154914383561644;Ziekteverzuim;True;True;9
0,9840423472728554;0,8883984374999994;0,22335466609589044;Ziekteverzuim;True;True;10
0,9820822024531581;0,8737499999999994;0,23368621575342466;Ziekteverzuim;True;True;11
0,9765141091211548;0,9323437499999994;0,25648330479452053;Ziekteverzuim;True;True;12
0,9801076032151045;0,8893749999999994;0,2405933219178082;Ziekteverzuim;True;True;13
0,969919123632888;1,1003124999999994;0,2919195205479452;Ziekteverzuim;True;True;14
0,9797028795011304;0,9049999999999994;0,24610273972602736;Ziekteverzuim;True;True;15
0,9638910027253738;1,0924999999999994;0,32927226027397255;Ziekteverzuim;True;True;16
0,9757612224606874;0,9049999999999994;0,2649212328767123;Ziekteverzuim;True;True;17
0,9666913891686477;1,0612499999999994;0,3120719178082192;Ziekteverzuim;True;True;18
0,9535278132169386;1,1159374999999994;0,4062966609589041;Ziekteverzuim;True;True;19
0,8702414546484198;1,9049999999999994;1,1048424657534248;Ziekteverzuim;True;True;20
0,974929150725747;0,9753124999999994;0,26500770547945207;Ziekteverzuim;True;True;21
0,984946691099577;0,8737499999999994;0,22460787671232874;Ziekteverzuim;True;True;22
0,989495433710981;0,8034374999999994;0,20886601027397256;Ziekteverzuim;True;True;23
0,9980245807705739;1,0448629830772411;0,2770314965666913;Ziekteverzuim;True;False;1
0,9853840943680955;1,03125;0,2915376712328767;Ziekteverzuim;True;False;2
0,9944143351228987;0,83203125;0,23810081335616437;Ziekteverzuim;True;False;3
0,9956630711782813;0,734375;0,2161275684931507;Ziekteverzuim;True;False;4
0,9904286863744151;0,8151562499999994;0,22005971746575342;Ziekteverzuim;True;False;5
0,9762099378827022;0,9518749999999994;0,26720419520547944;Ziekteverzuim;True;False;6
0,9709925213090801;0,9049999999999994;0,28304880136986305;Ziekteverzuim;True;False;7
